"地域コード","年度","教育費.市町村財政.","歳出決算総額.市町村財政.","経常収支比率.市町村財政.","実質公債費比率.市町村財政.","小学校児童数","中学校生徒数","総人口","総人口.女.","X65歳以上人口","地域女性割合","地域65歳以上割合","児童生徒数","教育費シェア","児童生徒割合","ln教育費.市町村財政.","ln歳出決算総額.市町村財政.","ln総人口","ln総人口.女.","lnX65歳以上人口","ln児童生徒数","logit教育費シェア","政令指定都市","特別区","議員候補者数","議員年齢中央値","議員年齢最小値","議員年齢平均値","議員X65歳以上割合","議員新人割合","議員女性割合","議員自民公明割合","議員共産社民割合","議員無所属割合","議員選挙年","議員経過年度","議員間隔異常","首長候補者数","首長年齢中央値","首長年齢最小値","首長年齢平均値","首長X65歳以上割合","首長新人割合","首長女性割合","首長自民公明割合","首長共産社民割合","首長無所属割合","首長選挙年","首長経過年度","首長間隔異常","議会高齢化ギャップ","議会女性ギャップ"
"R12216",2021,8800176,64711330,89.8,7.7,9084,4987,177854.6,89260.8,41088.6,0.501875127210654,0.23102354395107,14071,0.135991270771285,0.0791151873496665,15.9902822792484,17.9854468600598,12.0887216415347,11.3993177007243,10.6234859897468,9.55194228641739,-1.84899217385617,0,0,37,57.5,32,56.5,0.266666666666667,0.0666666666666667,0.166666666666667,0.166666666666667,0.1,0.6,0,2,0,2,46,46,46,0,0,0,0,0,1,0,2,0,0.0356431227155969,-0.335208460543987
"R12217",2016,14497798,121586383,91.3,4.3,21714,11264,416456.8,209515.2,101393.6,0.503089876308899,0.243467269594349,32978,0.11923866507321,0.0791870849509481,16.4895073337896,18.616135539318,12.939538013721,12.2525515694117,11.5267652517765,10.403626274247,-1.99965961331497,0,0,47,56.5,33,54.5555555555556,0.333333333333333,0.166666666666667,0.25,0.388888888888889,0.138888888888889,0.361111111111111,0,1,0,2,45,45,45,0,0,0,0,0,1,0,3,0,0.0898660637389837,-0.253089876308899
"R12217",2017,16837122,124042192,90.4,4.1,21935,11289,418959.6,211047.4,103598.2,0.503741649552845,0.247274916244908,33224,0.135737056307422,0.079301202311631,16.6390966495601,18.6361323237592,12.9455297742078,12.2598380317792,11.5482752341392,10.4110578835814,-1.85115745069862,0,0,47,56.5,33,54.5555555555556,0.333333333333333,0.166666666666667,0.25,0.388888888888889,0.138888888888889,0.361111111111111,0,2,0,3,49,49,49,0,0,0,0,0,1,1,0,0,0.0860584170884253,-0.253741649552845
"R12217",2018,13538006,122983861,90.8,2.9,22007,11297,421462.4,212579.6,105802.8,0.504385681854419,0.251037340460264,33304,0.110079533118577,0.0790200976409758,16.4210115472475,18.6275636933456,12.9514858472256,12.2670717854412,11.5693322630845,10.4134628148473,-2.08992896279444,0,0,47,56.5,33,54.5555555555556,0.333333333333333,0.166666666666667,0.25,0.388888888888889,0.138888888888889,0.361111111111111,0,3,0,3,49,49,49,0,0,0,0,0,1,0,1,0,0.0822959928730689,-0.254385681854419
"R12217",2019,18896108,127326398,91.2,2.2,22116,11308,423965.2,214111.8,108007.4,0.50502211030528,0.254755343127219,33424,0.148406837048826,0.0788366592352391,16.7544665328983,18.6622644104508,12.957406655374,12.2742535874915,11.5899550222776,10.4170594019701,-1.74715150308307,0,0,48,55.5,37,54.8611111111111,0.222222222222222,0.222222222222222,0.25,0.333333333333333,0.166666666666667,0.361111111111111,1,0,0,3,49,49,49,0,0,0,0,0,1,0,2,0,-0.0325331209049969,-0.25502211030528
"R12217",2020,23560009,180740006,90.9,2.5,21969,11457,426468,215644,110212,0.5056510687789,0.258429706332011,33426,0.130353038717947,0.0783786825740736,16.975061298751,19.0125701256349,12.9632926137907,12.2813841788278,11.6101610626945,10.4171192356326,-1.89784088556492,0,0,48,55.5,37,54.8611111111111,0.222222222222222,0.222222222222222,0.25,0.333333333333333,0.166666666666667,0.361111111111111,0,1,0,3,49,49,49,0,0,0,0,0,1,0,3,0,-0.0362074841097889,-0.2556510687789
"R12217",2021,21226161,153273328,87.2,2.3,22015,11759,428970.8,217176.2,112416.6,0.506272688024453,0.26206119390877,33774,0.13848567964806,0.0787326316849539,16.8707449883124,18.8477333430557,12.9691441303255,12.2884642846107,11.6299668923698,10.4274761628284,-1.82792475417022,0,0,48,55.5,37,54.8611111111111,0.222222222222222,0.222222222222222,0.25,0.333333333333333,0.166666666666667,0.361111111111111,0,2,0,4,42,42,42,0,1,1,0,0,1,1,0,0,-0.0398389716865476,-0.256272688024453
"R12218",2016,703503,11832081,93.6,7.7,612,327,18783.8,9086.2,7270,0.483725337791075,0.387035637091536,939,0.0594572501658838,0.0499898849008188,13.4638274199198,16.2863251291911,9.84075007521168,9.11451205796351,8.89151157052756,6.84587987526405,-2.76119953236632,0,0,17,62,37,56.8125,0.25,0.1875,0.149116161616162,0,0.0625,0.9375,0,1,0,1,66,66,66,1,0,0,0,0,1,0,1,0,-0.137035637091536,-0.334609176174913
"R12218",2017,648786,10367349,91.2,7.3,591,308,18319.6,8870.4,7275,0.484202711849604,0.397115657547108,899,0.0625797395264691,0.0490731238673334,13.3828582032521,16.154171906251,9.81572680392862,9.09047517011548,8.89219909203969,6.80239476332431,-2.70669012274898,0,0,17,62,37,56.8125,0.25,0.1875,0.149116161616162,0,0.0625,0.9375,0,2,0,1,66,66,66,1,0,0,0,0,1,0,2,0,-0.147115657547108,-0.335086550233442
"R12218",2018,751702,9007769,94.7,7.3,556,297,17855.4,8654.6,7280,0.484704907198943,0.407719793451841,853,0.0834504081976347,0.0477726626118709,13.5300952477979,16.0135979851607,9.79006126246593,9.06584625048223,8.89288614119073,6.74993119378857,-2.39636363418272,0,0,17,62,37,56.8125,0.25,0.1875,0.149116161616162,0,0.0625,0.9375,0,3,0,1,66,66,66,1,0,0,0,0,1,0,3,0,-0.157719793451841,-0.335588745582781
"R12218",2019,984295,10542964,94.8,7.6,516,309,17391.2,8438.8,7285,0.485233911403468,0.41889001334008,825,0.0933603681090062,0.0474377846267078,13.7996809278523,16.1709692759654,9.76371961014297,9.04059539738667,8.8935727186293,6.71659477352098,-2.27327812154104,0,0,17,64,42,60.5333333333333,0.466666666666667,0.133333333333333,0.0787301587301587,0,0,1,1,0,0,2,70,70,70,1,1,0,0,0,1,1,0,0,0.047776653326587,-0.40650375267331
